Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble,Will_Grow,SMA_5,SMA_10,SMA_20,Return_1D,Volatility_10,High_Low_Ratio,Open_Close_Ratio,Volume_SMA_10,Volume_Ratio,Close_Lag_1,Volume_Lag_1,Close_Lag_2,Volume_Lag_2,Close_Lag_3,Volume_Lag_3,RSI_14
2015-06-11,ADANIPORTS,EQ,284.1,284.5,287.9,281.3,285.0,285.05,284.84,2510273.0,71500000000000.0,78367.0,1466991.0,0.5844,1,319.78000000000003,314.415,316.52750000000003,-0.09737175427485745,0.08630304478310104,1.0234624955563454,0.9980705139449219,3037034.5,0.8265539953530328,315.8,3585046.0,346.75,2426994.0,320.1,2853145.0,44.74031182560358
2015-07-01,ADANIPORTS,EQ,321.85,321.95,328.7,317.4,321.75,321.1,323.01,2981544.0,96300000000000.0,43175.0,996993.0,0.3344,1,317.76000000000005,314.74,315.625,0.12646904051920727,0.09462079040624917,1.0356017643352238,1.0026471504204297,2788676.3,1.0691610209474653,285.05,2510273.0,315.8,3585046.0,346.75,2426994.0,50.163732758318915
2015-07-04,ADANIPORTS,EQ,321.25,323.0,325.6,316.65,323.75,323.9,321.59,1913068.0,61500000000000.0,39616.0,682828.0,0.3569,0,318.52,318.72,314.8525,0.008720024914356861,0.08622172485933895,1.0282646455076585,0.9972213646187096,2749465.6,0.6957963031070474,321.1,2981544.0,285.05,2510273.0,315.8,3585046.0,50.569518858450124
2015-07-05,ADANIPORTS,EQ,331.2,332.3,332.3,315.4,325.7,322.8,325.78,1709602.0,55700000000000.0,25325.0,408845.0,0.2391,1,313.73,318.815,316.52,-0.0033961099104661274,0.07594095533123428,1.0535827520608751,1.0294299876084263,2553206.1,0.669590284936261,323.9,1913068.0,321.1,2981544.0,285.05,2510273.0,50.39591222772308
2015-07-07,ADANIPORTS,EQ,320.1,321.8,334.7,321.6,333.05,333.05,328.56,7877450.0,259000000000000.0,84167.0,5489205.0,0.6968,1,317.18,322.1,320.39500000000004,0.03175340768277568,0.07213964643566892,1.040733830845771,0.9662212880948806,3014391.8,2.613280065318649,322.8,1709602.0,323.9,1913068.0,321.1,2981544.0,52.04787850153821
2015-07-08,ADANIPORTS,EQ,346.75,345.95,347.7,338.0,339.25,339.55,341.28,1883328.0,64300000000000.0,23501.0,1026643.0,0.5451,0,328.08,323.93,321.1825,0.019516589100735615,0.06939268552646904,1.028698224852071,1.018848475924017,2998820.1,0.6280230014464688,333.05,7877450.0,322.8,1709602.0,323.9,1913068.0,53.114226526467725
2015-07-09,ADANIPORTS,EQ,339.35,340.9,345.5,321.3,322.25,322.65,331.16,2580631.0,85500000000000.0,47612.0,1199220.0,0.4647,0,328.39,323.075,321.70500000000004,-0.04977175673685774,0.07106327051479135,1.0753190164954871,1.0565628389896173,3032108.1,0.8511012519639388,339.55,1883328.0,333.05,7877450.0,322.8,1709602.0,50.000884317656315
2015-07-10,ADANIPORTS,EQ,315.8,315.8,319.5,312.1,313.75,314.55,315.95,1851446.0,58500000000000.0,53203.0,933715.0,0.5043,0,326.52000000000004,322.52,320.78000000000003,-0.025104602510460094,0.07067601619738527,1.023710349247036,1.0039739310125577,2931938.2,0.6314751109010415,322.65,2580631.0,339.55,1883328.0,333.05,7877450.0,48.53252651205914
2015-07-12,ADANIPORTS,EQ,255.55,257.85,258.9,254.5,255.15,255.1,256.04,2699537.0,69100000000000.0,25740.0,1467033.0,0.5434,1,312.97999999999996,313.35499999999996,316.40000000000003,-0.18900015895724054,0.08602020147890742,1.0172888015717092,1.01078008624069,2959192.5,0.9122546099991805,314.55,1851446.0,322.65,2580631.0,339.55,1883328.0,39.38956453137439
2015-08-01,ADANIPORTS,EQ,321.1,326.0,337.3,323.55,336.7,334.55,330.87,2932673.0,97000000000000.0,55031.0,1064595.0,0.363,0,313.28000000000003,315.23,317.5625,0.3114464915719326,0.1337510196600722,1.0424972956266418,0.9744432820206247,2893955.2,1.0133788525820993,255.1,2699537.0,314.55,1851446.0,322.65,2580631.0,52.31774779578158
2015-08-04,ADANIPORTS,EQ,323.9,324.3,325.0,318.0,318.15,319.15,321.07,1317175.0,42300000000000.0,29105.0,506054.0,0.3842,1,309.2,318.64,316.52750000000003,-0.04603198326109714,0.12996144961729655,1.0220125786163523,1.0161366128779572,2774645.4,0.47471831896068595,334.55,2932673.0,255.1,2699537.0,314.55,1851446.0,50.08760897075844
