Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble,Will_Grow
2015-06-11,ADANIPORTS,EQ,284.1,284.5,287.9,281.3,285.0,285.05,284.84,2510273.0,71500000000000.0,78367.0,1466991.0,0.5844,1
2015-07-01,ADANIPORTS,EQ,321.85,321.95,328.7,317.4,321.75,321.1,323.01,2981544.0,96300000000000.0,43175.0,996993.0,0.3344,1
2015-07-04,ADANIPORTS,EQ,321.25,323.0,325.6,316.65,323.75,323.9,321.59,1913068.0,61500000000000.0,39616.0,682828.0,0.3569,0
2015-07-05,ADANIPORTS,EQ,331.2,332.3,332.3,315.4,325.7,322.8,325.78,1709602.0,55700000000000.0,25325.0,408845.0,0.2391,1
2015-07-07,ADANIPORTS,EQ,320.1,321.8,334.7,321.6,333.05,333.05,328.56,7877450.0,259000000000000.0,84167.0,5489205.0,0.6968,1
2015-07-08,ADANIPORTS,EQ,346.75,345.95,347.7,338.0,339.25,339.55,341.28,1883328.0,64300000000000.0,23501.0,1026643.0,0.5451,0
2015-07-09,ADANIPORTS,EQ,339.35,340.9,345.5,321.3,322.25,322.65,331.16,2580631.0,85500000000000.0,47612.0,1199220.0,0.4647,0
2015-07-10,ADANIPORTS,EQ,315.8,315.8,319.5,312.1,313.75,314.55,315.95,1851446.0,58500000000000.0,53203.0,933715.0,0.5043,0
2015-07-12,ADANIPORTS,EQ,255.55,257.85,258.9,254.5,255.15,255.1,256.04,2699537.0,69100000000000.0,25740.0,1467033.0,0.5434,1
2015-08-01,ADANIPORTS,EQ,321.1,326.0,337.3,323.55,336.7,334.55,330.87,2932673.0,97000000000000.0,55031.0,1064595.0,0.363,0
2015-08-04,ADANIPORTS,EQ,323.9,324.3,325.0,318.0,318.15,319.15,321.07,1317175.0,42300000000000.0,29105.0,506054.0,0.3842,1
2015-08-05,ADANIPORTS,EQ,322.8,326.2,340.75,326.2,337.0,335.1,336.13,2097977.0,70500000000000.0,29665.0,726039.0,0.3461,0
2015-08-06,ADANIPORTS,EQ,311.3,311.75,313.9,298.25,303.35,302.15,306.35,2647500.0,81100000000000.0,38783.0,783571.0,0.296,1
2015-08-07,ADANIPORTS,EQ,333.05,329.4,329.4,318.9,321.2,320.65,323.14,6546522.0,212000000000000.0,96249.0,4163928.0,0.6361,0
2015-08-09,ADANIPORTS,EQ,322.65,323.65,327.35,311.7,317.1,317.55,318.41,4788058.0,152000000000000.0,58391.0,2487048.0,0.5194,1
2015-08-10,ADANIPORTS,EQ,314.55,314.1,322.4,312.15,321.3,320.75,318.81,3186244.0,102000000000000.0,30808.0,1692038.0,0.531,0
2015-08-12,ADANIPORTS,EQ,255.1,255.0,255.0,250.05,250.05,251.05,252.39,2741462.0,69200000000000.0,57273.0,1522022.0,0.5552,1
2015-09-01,ADANIPORTS,EQ,334.55,339.9,343.1,327.35,331.3,331.15,334.89,3543488.0,119000000000000.0,44647.0,1569476.0,0.4429,0
2015-09-02,ADANIPORTS,EQ,300.2,296.7,307.9,292.5,300.0,300.15,301.14,3103409.0,93500000000000.0,47485.0,1292341.0,0.4164,1
2015-09-03,ADANIPORTS,EQ,333.05,331.55,335.9,323.5,323.6,325.0,328.79,1825760.0,60000000000000.0,49628.0,919969.0,0.5039,0
2015-09-04,ADANIPORTS,EQ,319.15,319.7,320.55,312.0,314.6,316.7,316.5,1503986.0,47600000000000.0,25485.0,473278.0,0.3147,0
2015-09-06,ADANIPORTS,EQ,302.15,303.45,311.35,301.2,305.9,306.55,306.95,2724447.0,83600000000000.0,39626.0,949672.0,0.3486,1
2015-09-07,ADANIPORTS,EQ,320.65,323.4,323.4,312.6,316.0,315.15,317.31,3521086.0,112000000000000.0,59573.0,1999596.0,0.5679,1
2015-09-09,ADANIPORTS,EQ,317.55,323.5,327.6,320.15,324.0,324.05,324.24,2070584.0,67100000000000.0,37958.0,803912.0,0.3883,0
2015-09-10,ADANIPORTS,EQ,320.75,323.0,324.7,315.95,317.05,318.55,320.82,1322859.0,42400000000000.0,18730.0,412612.0,0.3119,0
2015-09-11,ADANIPORTS,EQ,285.05,277.95,283.5,274.4,276.15,276.05,278.43,5642736.0,157000000000000.0,100788.0,3503760.0,0.6209,0
2015-09-12,ADANIPORTS,EQ,251.05,249.0,251.3,243.65,243.85,244.0,246.5,4226145.0,104000000000000.0,33906.0,2594302.0,0.6139,1
2015-10-02,ADANIPORTS,EQ,300.15,298.1,319.7,298.1,319.5,317.85,312.54,3921257.0,123000000000000.0,72815.0,1273566.0,0.3248,0
2015-10-03,ADANIPORTS,EQ,325.0,325.05,327.9,314.7,318.6,317.55,321.98,1215285.0,39100000000000.0,19946.0,389268.0,0.3203,1
2015-10-04,ADANIPORTS,EQ,316.7,316.9,323.85,313.5,319.0,319.8,319.87,2127407.0,68000000000000.0,38382.0,960345.0,0.4514,0
2015-10-06,ADANIPORTS,EQ,306.55,307.0,314.25,306.05,312.65,312.95,312.35,2282770.0,71300000000000.0,38577.0,1078919.0,0.4726,1
2015-10-07,ADANIPORTS,EQ,315.15,318.75,321.55,315.2,316.0,317.1,317.58,2531442.0,80400000000000.0,48893.0,1288295.0,0.5089,1
2015-10-08,ADANIPORTS,EQ,339.55,339.1,344.25,337.0,337.55,338.55,340.18,4031354.0,137000000000000.0,55949.0,1934312.0,0.4798,0
2015-10-09,ADANIPORTS,EQ,324.05,319.1,328.0,314.8,325.65,326.2,321.78,2432225.0,78300000000000.0,52258.0,1111352.0,0.4569,0
2015-10-11,ADANIPORTS,EQ,276.05,276.0,276.6,262.45,266.0,265.6,267.49,5013279.0,134000000000000.0,77214.0,2792157.0,0.557,0
