Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
23-03-2015,ADANIPORTS,EQ,308.15,308.3,311.25,302.55,303.25,303.85,307.17,1387396,4.26E+13,36128,556813,0.4013
24-03-2015,ADANIPORTS,EQ,303.85,304,309,299,308.5,307.1,304.18,2447607,7.45E+13,29690,803214,0.3282
25-03-2015,ADANIPORTS,EQ,307.1,310.15,315.5,309.2,314.2,314.75,313.29,2456872,7.70E+13,34077,1145244,0.4661
26-03-2015,ADANIPORTS,EQ,314.75,313.55,315.6,303,304.95,304.2,307.73,3406327,1.05E+14,25409,2405730,0.7063
27-03-2015,ADANIPORTS,EQ,304.2,307.8,307.8,295.4,304.85,305,302.76,3371344,1.02E+14,58751,1789039,0.5307
30-03-2015,ADANIPORTS,EQ,305,306,310,303,308.7,308.55,307.1,3039118,9.33E+13,71037,2021840,0.6653
31-03-2015,ADANIPORTS,EQ,308.55,311,315.45,305.05,308,308.2,311.23,2590770,8.06E+13,76709,1328199,0.5127
01-04-2015,ADANIPORTS,EQ,308.2,308.45,312.05,306.1,311.05,310.95,309.21,1026200,3.17E+13,21529,361057,0.3518
06-04-2015,ADANIPORTS,EQ,310.95,313.75,323.85,311.45,322.25,321.25,317.72,2039045,6.48E+13,33035,1056801,0.5183
07-04-2015,ADANIPORTS,EQ,321.25,323,325.6,316.65,323.75,323.9,321.59,1913068,6.15E+13,39616,682828,0.3569
08-04-2015,ADANIPORTS,EQ,323.9,324.3,325,318,318.15,319.15,321.07,1317175,4.23E+13,29105,506054,0.3842
09-04-2015,ADANIPORTS,EQ,319.15,319.7,320.55,312,314.6,316.7,316.5,1503986,4.76E+13,25485,473278,0.3147
10-04-2015,ADANIPORTS,EQ,316.7,316.9,323.85,313.5,319,319.8,319.87,2127407,6.80E+13,38382,960345,0.4514
13-04-2015,ADANIPORTS,EQ,319.8,320.5,331.65,319.55,330.65,330.8,327.45,2405161,7.88E+13,53124,1129519,0.4696
15-04-2015,ADANIPORTS,EQ,330.8,330.5,333.6,324.25,326.7,325.75,329.58,1576904,5.20E+13,37903,415900,0.2637
16-04-2015,ADANIPORTS,EQ,325.75,328,332.4,321.8,326.85,327.5,327.53,1676768,5.49E+13,31623,520392,0.3104
17-04-2015,ADANIPORTS,EQ,327.5,327.6,332,321,325.3,322.75,327.01,1471127,4.81E+13,23937,583711,0.3968
20-04-2015,ADANIPORTS,EQ,322.75,324.5,324.95,308.3,312.55,313.5,315.27,2002115,6.31E+13,34661,973003,0.486
21-04-2015,ADANIPORTS,EQ,313.5,313.95,320.65,310.25,314.45,314.45,316.13,1679188,5.31E+13,41067,745105,0.4437
22-04-2015,ADANIPORTS,EQ,314.45,316.4,318.25,304.75,314.5,313.7,311.68,2317579,7.22E+13,60801,1100788,0.475
23-04-2015,ADANIPORTS,EQ,313.7,315,319.85,313.2,318.55,318.6,317.51,1069160,3.39E+13,15486,320725,0.3
24-04-2015,ADANIPORTS,EQ,318.6,319,319,312.95,318.85,316.3,316.91,1316393,4.17E+13,25210,606326,0.4606
27-04-2015,ADANIPORTS,EQ,316.3,316.75,323.45,304.55,306.5,305.95,313.28,2330507,7.30E+13,29444,1039970,0.4462
28-04-2015,ADANIPORTS,EQ,305.95,307,310.8,298.5,305.8,306.1,304.07,2539436,7.72E+13,42350,949014,0.3737
29-04-2015,ADANIPORTS,EQ,306.1,308,315.4,305.75,313.05,312.85,311.81,1566799,4.89E+13,25529,611704,0.3904
30-04-2015,ADANIPORTS,EQ,312.85,313.05,319.9,308.7,319,317.55,316.67,2916537,9.24E+13,37294,1579630,0.5416
04-05-2015,ADANIPORTS,EQ,317.55,325.55,353,321.05,349,347.2,336.92,6375610,2.15E+14,99806,2608812,0.4092
05-05-2015,ADANIPORTS,EQ,347.2,349.6,351.7,337.95,341.5,342.7,345.03,4219216,1.46E+14,69978,1801098,0.4269
06-05-2015,ADANIPORTS,EQ,342.7,340.35,344.25,329.05,330.5,331.2,334.58,2247751,7.52E+13,41180,759137,0.3377
07-05-2015,ADANIPORTS,EQ,331.2,332.3,332.3,315.4,325.7,322.8,325.78,1709602,5.57E+13,25325,408845,0.2391
08-05-2015,ADANIPORTS,EQ,322.8,326.2,340.75,326.2,337,335.1,336.13,2097977,7.05E+13,29665,726039,0.3461
11-05-2015,ADANIPORTS,EQ,335.1,337.6,345,337.05,344.5,344.05,342.45,2266220,7.76E+13,41494,1100103,0.4854
12-05-2015,ADANIPORTS,EQ,344.05,343.4,343.4,333.15,335.65,334.9,335.61,1550748,5.20E+13,26427,710761,0.4583
13-05-2015,ADANIPORTS,EQ,334.9,336.45,344,334.55,341.65,340.45,339.93,3022877,1.03E+14,49564,1455253,0.4814
14-05-2015,ADANIPORTS,EQ,340.45,338.4,340,330.75,333.8,333.95,334.62,3075816,1.03E+14,56512,1486839,0.4834
15-05-2015,ADANIPORTS,EQ,333.95,335.85,338.65,327.05,329.3,329,333.39,1663198,5.54E+13,23999,767388,0.4614
18-05-2015,ADANIPORTS,EQ,329,330.8,340.55,329.5,339,339.35,336.24,1370344,4.61E+13,18155,543618,0.3967
19-05-2015,ADANIPORTS,EQ,339.35,338.3,344.9,335.35,339.3,339.85,341.35,1685421,5.75E+13,30168,556612,0.3303
20-05-2015,ADANIPORTS,EQ,339.85,340.8,344.45,338.55,342.25,343.05,341.89,1660453,5.68E+13,22360,637500,0.3839
21-05-2015,ADANIPORTS,EQ,343.05,344,351,343.55,348.3,348.4,348.25,2609479,9.09E+13,43136,1045731,0.4007
22-05-2015,ADANIPORTS,EQ,348.4,347.55,354.8,346.8,347.7,348.95,350.14,2369700,8.30E+13,45098,1032206,0.4356
25-05-2015,ADANIPORTS,EQ,348.95,347.65,350.3,340.35,344.5,342.9,345.25,1420555,4.90E+13,23721,526417,0.3706
26-05-2015,ADANIPORTS,EQ,342.9,343.05,350.25,343,345.25,345.25,346.81,1576396,5.47E+13,19971,712171,0.4518
27-05-2015,ADANIPORTS,EQ,345.25,343,344.9,336.1,339.8,338.9,339.19,2585896,8.77E+13,37286,1595500,0.617
28-05-2015,ADANIPORTS,EQ,338.9,339.9,340.6,320.55,335.2,333,329.49,3394601,1.12E+14,49597,1304186,0.3842
29-05-2015,ADANIPORTS,EQ,333,333.1,334.7,322.55,323.5,323.85,326.12,3711024,1.21E+14,64254,2015006,0.543
01-06-2015,ADANIPORTS,EQ,323.85,325.8,325.8,308.25,309.9,311.55,316.88,3889157,1.23E+14,60039,1731656,0.4453
02-06-2015,ADANIPORTS,EQ,311.55,318.1,321,306.2,312.15,309.15,313.23,7395219,2.32E+14,92094,3231909,0.437
03-06-2015,ADANIPORTS,EQ,309.15,311,311.8,288,298.8,297.25,297.75,24022178,7.15E+14,146495,12622642,0.5255
04-06-2015,ADANIPORTS,EQ,297.25,301,316.35,301,310.3,311.2,310.06,6343813,1.97E+14,80177,2101953,0.3313
05-06-2015,ADANIPORTS,EQ,311.2,311,315.65,308.7,311.9,311.3,312.72,2533852,7.92E+13,35295,941089,0.3714
08-06-2015,ADANIPORTS,EQ,311.3,311.75,313.9,298.25,303.35,302.15,306.35,2647500,8.11E+13,38783,783571,0.296
09-06-2015,ADANIPORTS,EQ,302.15,303.45,311.35,301.2,305.9,306.55,306.95,2724447,8.36E+13,39626,949672,0.3486
